lambda,sigma,opt,phase,prr,simple_error,maxmin_error
0.0,0.0,570622918.9188758,1141075937.7382307,570622918.9188758,0.0,0.0
0.25,0.0,570622918.9188758,1380660557.559536,652116207.3216705,0.0,0.0
0.5,0.0,570622918.9188758,1267497885.9409573,760773925.1920457,0.0,0.0
0.75,0.0,570622918.9188758,1095511911.1147337,912894730.210532,0.0,0.0
1.0,0.0,570622918.9188758,1050642761.1961772,1141075937.7382305,0.0,0.0
0.0,0.0,570622918.9188758,1141075937.7382307,570622918.9188758,0.0,0.0
0.25,0.0,570622918.9188758,1296395030.3757696,652116207.3216705,0.0,0.0
0.5,0.0,570622918.9188758,1121361452.7795033,760773925.1920457,0.0,0.0
0.75,0.0,570622918.9188758,1030884207.8267857,912894730.210532,0.0,0.0
1.0,0.0,570622918.9188758,1036297210.9153572,1141075937.7382305,0.0,0.0
0.0,0.0,570622918.9188758,1141075937.7382307,570622918.9188758,0.0,0.0
0.25,0.0,570622918.9188758,1376353681.0083206,652116207.3216705,0.0,0.0
0.5,0.0,570622918.9188758,1255873393.5054543,760773925.1920457,0.0,0.0
0.75,0.0,570622918.9188758,1094128867.5243678,912894730.210532,0.0,0.0
1.0,0.0,570622918.9188758,1075054060.566984,1141075937.7382305,0.0,0.0
0.0,0.0,570622918.9188758,1141075937.7382307,570622918.9188758,0.0,0.0
0.25,0.0,570622918.9188758,1364169307.914416,652116207.3216705,0.0,0.0
0.5,0.0,570622918.9188758,1321777877.8097672,760773925.1920457,0.0,0.0
0.75,0.0,570622918.9188758,1199114523.370963,912894730.210532,0.0,0.0
1.0,0.0,570622918.9188758,1070710407.7499127,1141075937.7382305,0.0,0.0
0.0,0.0,570622918.9188758,1141075937.7382307,570622918.9188758,0.0,0.0
0.25,0.0,570622918.9188758,1095205536.988547,652116207.3216705,0.0,0.0
0.5,0.0,570622918.9188758,1282475207.3075857,760773925.1920457,0.0,0.0
0.75,0.0,570622918.9188758,1056888068.8058375,912894730.210532,0.0,0.0
1.0,0.0,570622918.9188758,1179120614.930171,1141075937.7382305,0.0,0.0
0.0,50.0,570622918.9188758,1141075937.7382307,1150432066.04773,24151371318.647087,7473882422.76634
0.25,50.0,570622918.9188758,1412733232.9086921,1257266954.260664,24151371318.647087,7473882422.76634
0.5,50.0,570622918.9188758,1410420193.9043262,1248059938.9636617,24151371318.647087,7473882422.76634
0.75,50.0,570622918.9188758,1408054144.5475504,1197179237.125832,24151371318.647087,7473882422.76634
1.0,50.0,570622918.9188758,1389712699.0450952,1140952302.9815888,24151371318.647087,7473882422.76634
0.0,50.0,570622918.9188758,1141075937.7382307,1140943833.6497514,24081939911.17289,7475339929.79116
0.25,50.0,570622918.9188758,1419107961.4845288,1243317348.8881617,24081939911.17289,7475339929.79116
0.5,50.0,570622918.9188758,1420180526.2563274,1226567190.0918005,24081939911.17289,7475339929.79116
